,cod_mod_anexo,ece_imputado,ind_leng_prim_imp,ind_mate_prim_imp
9245,06440390,1,0.16666667,0.16666667
9246,06441120,1,0.5,0.6666666
9247,06441460,1,1.0,0.9
9248,06441790,1,1.0,1.0
9249,06442030,1,0.46153846,0.07692308
9250,06442370,1,0.14285715,0.0
9251,06442450,1,0.9,0.85
9252,06443360,1,0.9473684,0.9473684
9253,06445000,1,1.0,1.0
9254,06445340,1,1.0,1.0
9255,06448310,1,0.5714286,0.42857143
9256,06449550,1,0.2857143,0.0
9257,06450440,1,0.21428572,0.35714287
9258,06451350,1,1.0,0.8333334
9259,06452670,1,0.8333334,0.3888889
9260,06452910,1,0.5151515,0.42424244
9261,06453250,1,0.3,0.3
9262,06454650,1,0.79310346,0.51724136
9263,06454990,1,0.71428573,0.5714286
9264,06456480,1,0.14285715,0.0
9265,06456710,1,0.33333334,0.52380955
9266,06457130,1,0.31578946,0.21052632
9267,06461820,1,0.31034482,0.2413793
9268,06462400,1,0.625,0.375
9269,06462570,1,0.16666667,0.16666667
9270,06462730,1,0.2,0.2
9271,06462810,1,0.5714286,0.42857143
9272,06463640,1,0.5185185,0.3703704
9273,06472140,1,0.07594936,0.025316456
9274,06472300,1,0.16666667,0.11111111
9275,06472480,1,1.0,1.0
9276,06472550,1,0.8,0.6
9277,06472710,1,0.4,0.2
9278,06473050,1,1.0,0.71428573
9279,06473390,1,1.0,1.0
9280,06473620,1,0.5,0.34615386
9281,06474040,1,0.8181818,0.90909094
9282,06474120,1,0.85714287,1.0
9283,06474380,1,0.8,0.2
9284,06474530,1,0.20833334,0.16666667
9285,06475030,1,1.0,1.0
9286,06475370,1,0.5714286,0.14285715
9287,06475600,1,0.85714287,0.85714287
9288,06475780,1,0.2857143,0.2857143
9289,06476280,1,0.3214286,0.17857143
9290,06476510,1,0.4,0.2
9291,06479740,1,1.0,1.0
9292,06479900,1,0.5833333,0.5833333
9293,06480550,1,0.5833333,0.5833333
9294,06481050,1,0.5,0.5
9295,06483780,1,1.0,0.16666667
9296,06485270,1,0.21428572,0.14285715
9297,06485500,1,0.5,0.0
9298,06486420,1,0.6666667,0.44444445
9299,06486750,1,0.0,0.0
9300,06493680,1,0.75,0.0
9301,06493920,1,0.0,0.0
9302,06496320,1,1.0,0.8333334
9303,06497070,1,0.13114753,0.114754096
9304,06501840,1,1.0,1.0
9305,06502340,1,1.0,0.75
9306,06502420,1,1.0,0.75
9307,06502590,1,0.9047619,0.8571429
9308,06502670,1,0.6666667,0.33333334
9309,06502750,1,1.0,0.70000005
9310,06502830,1,0.42424244,0.36363637
9311,06503090,1,0.8,0.8
9312,06503170,1,0.8,1.0
9313,06503740,1,0.5,0.5
9314,06504160,1,1.0,1.0
9315,06504240,1,0.23076923,0.115384616
9316,06504320,1,0.8,0.8
9317,06504400,1,0.375,0.125
9318,06504570,1,1.0,1.0
9319,06504650,1,0.75,0.75
9320,06505070,1,0.4,0.2
9321,06505150,1,0.16666667,0.33333334
9322,06505230,1,1.0,0.75
9323,06505310,1,0.5,0.125
9324,06505490,1,1.0,1.0
9325,06506140,1,0.8181819,0.90909094
9326,06506220,1,0.8181819,0.90909094
9327,06512400,1,1.0,1.0
9328,06513560,1,0.95454544,1.0
9329,06513640,1,0.92857146,0.92857146
9330,06513980,1,1.0,1.0
9331,06514060,1,1.0,1.0
9332,06514140,1,0.75,0.75
9333,06514550,1,1.0,1.0
9334,06514890,1,0.03846154,0.07692308
9335,06514970,1,0.5,0.33333334
9336,06515130,1,0.1521739,0.06521739
9337,06515700,1,1.0,1.0
9338,06518440,1,1.0,1.0
9339,06518510,1,1.0,0.9583334
9340,06519430,1,1.0,1.0
9341,06519680,1,1.0,0.85714287
9342,06526690,1,0.3888889,0.11111111
9343,06526770,1,0.54545456,0.27272728
9344,06527920,1,1.0,0.8
9345,06528260,1,0.85714287,1.0
9346,06528340,1,0.5757576,0.33333334
9347,06528420,1,0.75,0.625
9348,06528590,1,0.8,0.6
9349,06528830,1,0.4,0.3
9350,06528910,1,0.0,0.0
9351,06529090,1,0.8,0.6
9352,06529330,1,1.0,1.0
9353,06529410,1,0.44444445,0.6666667
9354,06530970,1,0.11111111,0.11111111
9355,06531210,1,0.11111111,0.0
9356,06531390,1,0.0,0.0
9357,06531540,1,0.6666666,0.5
9358,06531700,1,1.0,1.0
9359,06531880,1,0.5,1.0
9360,06535760,1,1.0,0.875
9361,06536590,1,0.025,0.0
9362,06537330,1,0.9,0.95000005
9363,06537580,1,0.8888889,0.8888889
9364,06538160,1,0.0,0.0
9365,06557380,1,0.07692308,0.07692308
9366,06557610,1,0.1875,0.0625
9367,06558780,1,1.0,1.0
9368,06559020,1,0.45454547,0.27272728
9369,06559690,1,0.969697,1.0
9370,06559850,1,1.0,1.0
9371,06560090,1,0.9090909,0.6060606
9372,06560410,1,0.35714287,0.35714287
9373,06560580,1,0.0,0.0
9374,06560660,1,0.15384616,0.0
9375,06560740,1,0.41860464,0.25581396
9376,06560820,1,0.375,0.25
9377,06561160,1,0.4615385,0.6923077
9378,06561240,1,0.5,0.5
9379,06561320,1,0.71428573,0.42857146
9380,06561400,1,0.61538464,0.3846154
9381,06561570,1,0.2857143,0.2857143
9382,06561810,1,0.09090909,0.0
9383,06567020,1,0.07692308,0.07692308
9384,06567360,1,0.07692308,0.07692308
9385,06569000,1,0.41791046,0.31343284
9386,06569590,1,0.8,0.8
9387,06569830,1,1.0,1.0
9388,06569910,1,0.33333334,0.6666667
9389,06570070,1,0.6486486,0.7027027
9390,06570490,1,1.0,1.0
9391,06570800,1,1.0,0.33333334
9392,06570980,1,0.8333333,1.0
9393,06571220,1,0.8888889,0.8888889
9394,06572390,1,0.25,0.125
9395,06572540,1,0.75,0.25
9396,06573040,1,0.2,0.0
9397,06573120,1,0.0,0.5
9398,06573200,1,0.5,0.5
9399,06573610,1,0.5,0.33333334
9400,06573790,1,0.6,0.4
9401,06574450,1,0.0,0.07692308
