,cod_mod_anexo,ece_imputado,ind_leng_sec_imp,ind_mate_sec_imp
106,07337170,1,0.8888889,0.8888889
107,07342850,1,0.7647059,1.0
108,07368500,1,0.5714286,0.9285714
109,07368920,1,0.8947368,0.94736844
110,07427830,1,0.75,0.6985294
111,07485090,1,0.7647059,0.9411765
112,07523450,1,1.0,1.0
113,07547210,1,1.0,0.9
114,07548790,1,1.0,1.0
115,07572520,1,1.0,1.0
116,07572860,1,0.25,0.75
117,07573440,1,0.675,0.55
118,07591260,1,0.29411766,0.2647059
119,07661210,1,0.6,1.0
120,07698510,1,0.7647059,0.9411765
121,07698930,1,1.0,0.875
122,07699010,1,0.2,0.8
123,07831180,1,0.63043475,0.67391306
124,07969200,1,0.125,0.25
125,08039730,1,0.875,0.875
126,08067370,1,1.0,1.0
127,08067940,1,1.0,1.0
128,08181040,1,0.8064516,0.96774197
129,08397950,1,0.85714287,1.0
130,08399440,1,1.0,1.0
131,08765650,1,0.5,0.8333334
132,08777870,1,0.79545456,0.77272725
133,08780820,1,0.6666667,0.8333334
134,08992780,1,0.18181819,0.6363636
135,09050670,1,1.0,0.88235295
136,09061490,1,0.6666667,0.5
137,09139470,1,0.7222222,0.8333334
138,09231770,1,0.8933333,0.94000006
139,09236490,1,1.0,1.0
140,09236720,1,1.0,1.0
141,09294630,1,1.0,1.0
142,09303540,1,0.85714287,0.85714287
143,10037060,1,0.9166667,0.9166667
144,10037480,1,1.0,1.0
145,10251130,1,0.8333333,0.9166666
146,10257740,1,0.90000004,0.7
147,10276710,1,0.6,1.0
148,10285130,1,0.93333334,0.73333335
149,10377870,1,0.5,0.75
150,10378290,1,0.5,0.75
151,10431320,1,0.71428573,0.71428573
152,10554660,1,0.5,0.8333334
153,10586190,1,0.35714287,0.64285713
154,10588580,1,0.35714287,0.64285713
155,10641120,1,1.0,0.85714287
156,10935250,1,0.33333334,0.6666667
157,10956450,1,0.76,1.0
158,10958010,1,0.69767445,0.76744187
159,10966840,1,1.0,0.87096775
